,gen-vanilla_SSRT-vanilla,gen-vanilla_SSRT-w_guesses,gen-vanilla_SSRT-w_graded,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded
003RTV85,284.4166666666666,267.66417965025636,392.5333333333333,298.2499999999999,284.379822270627,409.9333333333333,221.3666666666666,195.56527374852215,294.5666666666666
00CY2MDM,323.15000000000003,173.95079368879584,1013.2833333333333,417.0166666666666,294.24266658806783,1211.1333333333332,220.7,41.88279259199775,410.46666666666664
00HEV6HB,308.7166666666667,223.9939901436254,751.65,366.1166666666667,290.76029418079645,919.5666666666667,217.6,114.95906994631677,355.9166666666667
00LJVZK2,301.2833333333334,232.5922159659112,681.6833333333336,349.0,287.7024913284315,797.0500000000001,228.48333333333335,141.77652834956456,346.43333333333334
00NPMHND,275.6333333333333,272.34159404005914,327.11666666666673,280.56666666666666,277.5131556039604,332.28333333333325,253.68333333333334,246.04760113880874,282.65000000000003
00R4TXET,295.01666666666665,248.16811694625645,523.5666666666666,329.1333333333333,289.83337390843457,599.2833333333333,215.91666666666669,146.42554442070997,319.95
00UMK5VC,288.91666666666663,257.79328206582545,420.34999999999997,312.0,287.68686060866764,446.75,218.48333333333335,167.11682137152044,303.11666666666673
00X2TBWJ,286.96666666666664,258.6069815976324,439.70000000000005,307.8333333333333,284.30533332350853,476.05,227.65000000000003,187.87203667196482,303.61666666666673
0191C80U,303.91666666666663,220.88793054285426,627.9833333333332,358.1499999999999,292.8914866609337,704.3499999999999,216.83333333333331,101.08300491814109,345.15
01ELX9L6,280.6333333333333,279.50771617307373,371.5166666666667,287.76666666666665,281.57585713614526,375.6333333333333,233.25,224.88143104078745,291.25
01EN91PG,283.4,263.84315686053213,388.0,298.1166666666666,283.0438989467083,395.8833333333333,228.86666666666662,200.6200472006358,295.03333333333336
01NAYMZH,289.9666666666667,255.22651484725046,466.49999999999994,315.20000000000005,286.8456445363417,503.8166666666666,219.34999999999997,168.6449657225793,310.05000000000007
021403LF,282.5833333333333,269.6609321368272,381.36666666666673,293.75,282.7964889372937,394.7,224.6333333333333,205.26955003404544,291.8166666666667
022ZVCT8,285.76666666666665,263.9636253454422,403.0666666666666,302.66666666666663,285.120193942001,419.6166666666666,221.05,186.5919123439209,297.98333333333335
028D3ELL,292.6333333333333,247.36478084490778,449.84999999999997,323.68333333333334,289.84130895612293,472.1333333333333,216.43333333333334,144.7999862109743,311.73333333333335
028WCTG6,297.8499999999999,230.3323208213491,494.5166666666666,341.1499999999999,292.46687231770005,502.6499999999999,216.41666666666663,113.8934918804379,325.7666666666667
029PWCFY,304.5333333333333,221.32249497070674,685.0666666666666,359.7166666666666,291.71768510161803,802.4333333333334,217.31666666666663,106.6622060045531,350.34999999999997
02EBX0JJ,285.84999999999997,264.0694521843768,403.66666666666663,302.76666666666665,285.27019394200096,420.2,220.66666666666666,186.61656484089502,298.0166666666667
02JXJUZG,285.73333333333335,259.0599237234145,417.2666666666667,304.95000000000005,284.2570545506687,430.9666666666667,227.3166666666667,189.25255435656382,301.43333333333334
02RCED7D,290.5666666666666,251.27211361388746,433.8833333333334,317.9833333333333,288.30093728474895,456.21666666666664,219.41666666666669,156.2130422525875,307.61666666666673
02UVMTY7,288.7666666666666,260.5697230518839,417.95,310.78333333333336,288.079822270627,447.83333333333337,217.01666666666665,168.92189158282616,302.1333333333334
02WP3TP6,295.6333333333333,238.61498123733907,496.6666666666667,333.95,291.06762016404366,528.15,217.35000000000005,130.3396530198044,321.8666666666667
030X9ZNH,281.1000000000001,269.43843863122595,368.25000000000006,291.33333333333337,281.59648893729377,380.3833333333333,231.36666666666665,213.62823087040465,289.6333333333334
03BDCNWM,293.0666666666666,250.51928263017908,447.3333333333333,324.04999999999995,291.1438989467083,480.05,214.76666666666665,143.19855952380686,311.23333333333335
03CV8RDT,310.45,198.08379230190295,775.3833333333332,381.3666666666666,293.68351543011573,870.65,218.66666666666666,72.66354753226916,373.7333333333333
03VJZEL,298.70000000000005,236.29187183846287,599.7833333333334,340.91666666666663,289.102844366565,683.7333333333332,218.83333333333331,136.7086938323669,333.95
03XVEBPM,289.9833333333333,257.6191687470697,428.15,314.41666666666663,288.8368606086676,456.16666666666663,215.99999999999997,162.063806832788,305.0833333333333
03YU08FA,307.76666666666665,203.4422271051044,659.8333333333331,372.4666666666667,294.35828230746495,703.9166666666667,218.06666666666666,74.75295424958286,357.5333333333333
040B4TRC,310.2666666666666,208.59054407079796,736.7333333333332,376.03333333333325,293.3776319355759,868.2999999999998,217.7833333333333,83.24808757301064,361.58333333333326
042UJKFB,287.46666666666664,258.7087262397543,414.4666666666666,308.48333333333323,286.2772322800416,432.0499999999999,221.1166666666666,175.86659418647702,301.6333333333333
04BFG4JM,313.55,193.10080124106673,819.4166666666665,389.4333333333333,293.89507072399743,941.4833333333333,219.0666666666667,64.9962185780371,379.91666666666663
04CLBZAD,294.65,242.4602766949265,472.6833333333333,330.3666666666666,290.980759555376,506.95,216.64999999999998,133.09938721861235,316.8666666666667
04EUBGTM,290.99999999999994,253.33213379170863,452.3,318.05,288.7570545506687,477.7833333333333,216.45,158.54910134240498,309.95000000000005
04JY6730,316.66666666666663,194.9747500721011,882.7333333333331,395.1999999999999,293.5566341677241,1068.7166666666665,218.93333333333334,67.40950855050247,384.7833333333333
04P0G6LK,316.1333333333333,197.57352521465342,890.4,393.26666666666665,293.1223797622699,1084.05,218.81666666666663,72.93711398900412,384.6666666666667
04R9REGF,322.66666666666674,175.9139410652452,1032.7333333333333,415.85,293.8407639852854,1249.9,220.56666666666666,45.941146273046186,411.59999999999997
059VLAHF,295.31666666666666,244.73822055229232,506.58333333333337,330.8833333333333,290.5018222608022,564.75,215.83333333333331,138.9629144541383,319.56666666666666
05CA3VX5,289.7,259.8894364838558,447.70000000000005,313.03333333333336,287.958783927674,488.23333333333335,216.79999999999998,169.98061416515228,306.33333333333337
05LGG3GZ,294.34999999999997,247.22971419163648,485.23333333333323,327.85,290.2053333235085,541.4,216.13333333333338,141.76884018843143,315.58333333333337
05X0LM1N,298.18333333333334,236.81250655135668,551.3833333333333,339.9333333333333,291.2115272605971,617.0666666666667,216.11666666666667,127.36288662595642,328.51666666666665
05YY477E,336.43333333333334,161.52487448291535,1276.7666666666667,449.51666666666665,293.96244390499766,1648.8,221.8,26.637521778291834,442.8666666666667
06A9DLE9,303.65000000000003,220.4277001058466,598.5166666666667,357.91666666666663,293.6054866658462,672.2666666666667,216.61666666666667,94.55287156261673,341.16666666666663
06DP74KL,294.18333333333334,245.6551635099136,455.1833333333333,328.08333333333326,291.4842706180823,487.46666666666664,215.11666666666665,135.2509084020695,313.58333333333337
06DX0E7R,307.3333333333333,207.31927239677483,697.6666666666666,370.76666666666665,293.40459801898146,780.3000000000001,217.91666666666669,83.40600948374548,359.3166666666666
06U4DYFY,287.90000000000003,306.3251391306337,556.05,298.9,283.97595121491764,608.3833333333334,241.46666666666664,254.6919320307565,325.5000000000001
06WHVUPX,296.65000000000003,239.4770021587925,511.65000000000003,335.81666666666666,291.6500928837969,554.05,215.6333333333333,128.58832967580864,323.7833333333333
07924XF1,287.53333333333325,264.8832878673352,413.03333333333336,306.16666666666663,287.4131556039604,437.1666666666667,215.93333333333328,179.04201126365166,299.9833333333333
07BR8GMY,297.75,236.97376561185453,567.5,339.2333333333334,290.6412890726834,631.4166666666666,216.61666666666667,131.0131939300292,331.1666666666667
07CMT243,288.46666666666664,262.18572153062695,416.79999999999995,309.5833333333333,288.0631556039603,444.95000000000005,216.86666666666665,172.01447249325776,301.83333333333337
07RPB2TU,315.2,190.14691019309896,865.4666666666666,394.3166666666667,293.83014964696406,1005.8166666666665,219.33333333333337,62.36590927778016,386.8666666666666
07THBLHG,307.45000000000005,212.92217829886647,690.65,368.9333333333333,293.4257049703203,802.4499999999999,217.33333333333334,87.58532491768521,354.85
07UK1DPH,285.6833333333334,264.6068331943829,416.2166666666667,302.3,284.87631120792076,436.59999999999997,220.80000000000004,190.01872385664012,299.3166666666668
07XXFHDK,293.4166666666667,248.92365208443778,485.83333333333326,325.2333333333333,289.7623112030083,533.5,216.0333333333333,147.7698747501788,315.5833333333333
085CYDEZ,298.51666666666665,229.4738223304561,567.3833333333333,343.3666666666667,291.22116365200617,594.0333333333334,217.00000000000003,121.66124434916281,335.90000000000003
086114AT,292.6166666666666,251.61195700755204,493.23333333333335,322.18333333333334,288.5851555941356,541.4666666666667,216.53333333333333,157.44228171206206,315.1666666666667
086U18RD,290.0333333333333,255.77484992379058,426.49999999999994,315.3666666666667,288.73686060866766,456.34999999999997,217.7,160.5712259223564,305.0166666666667
08AT7TLH,286.98333333333335,259.28307173004566,442.35,306.81666666666666,284.6631718165885,461.3666666666667,220.96666666666664,183.24175625042636,304.81666666666666
08DNLREC,293.03333333333325,249.02821132032912,446.2333333333333,324.2666666666666,290.82723228004164,479.93333333333334,215.1333333333333,142.3582981460559,310.65000000000003
08EFDKZ6,288.6166666666666,255.47606109434454,418.7833333333333,312.51666666666665,287.2938989467083,441.0666666666666,222.1,169.05804161543054,303.4833333333334
08J0E48V,274.93333333333334,316.0691434820365,335.48333333333335,266.28333333333336,279.7634785197265,325.35,246.7666666666666,285.6761045636795,283.65000000000003
08K0R9C4,275.28333333333336,271.06443156833114,323.25,280.99999999999994,277.42982227062697,329.21666666666664,256.3166666666666,248.13025475058424,282.3499999999999
08K8VF33,280.43333333333334,266.96485204323506,358.5333333333334,292.2833333333333,281.179822270627,372.76666666666665,241.38333333333333,219.87395458488146,289.8166666666667
08R2PTT1,319.01666666666665,185.42523772197828,931.2833333333332,404.04999999999995,293.98992325514473,1120.1333333333332,219.66666666666666,54.69768642749824,394.9333333333333
08YLBTNH,274.43333333333334,269.75663699699913,317.08333333333337,281.21666666666664,277.07982227062695,323.8333333333333,262.5499999999999,253.58025475058426,282.76666666666665
094UXV0J,284.6166666666666,265.6853751202893,416.08333333333337,299.7666666666667,283.52545059434067,444.5333333333333,224.33333333333331,198.68141542041664,297.51666666666665
095EVLDD,293.65,243.93007935662283,457.4333333333334,327.28333333333325,290.3816806274968,478.2499999999999,217.08333333333334,138.47592980032127,314.4666666666667
096T,308.1166666666667,207.7238247537899,695.0500000000001,372.0666666666667,293.71434726468897,783.8000000000001,217.7833333333334,81.65554166273714,358.6166666666667
097LUBWX,286.3833333333333,262.22195596705177,424.9,305.2833333333333,284.99211726100737,459.1,224.41666666666663,188.2872099833562,300.8
09AEBLZH,343.1166666666667,161.3221434012406,1335.85,461.71666666666664,294.2325108857527,1758.5166666666667,221.89999999999998,24.215688302956444,448.86666666666673
09AKV10T,296.53333333333325,238.9681285545525,486.59999999999997,335.9333333333333,292.4877978934166,520.6666666666665,215.2833333333333,122.7056496025602,321.2
09VBPCLU,294.55000000000007,245.70060427402223,494.69999999999993,328.9166666666667,290.45268287438233,540.7666666666667,215.88333333333335,141.15380416983322,318.4166666666667
0A4ZDYNL,287.04999999999995,262.04383637063967,407.7,306.16666666666663,286.22982227062704,433.6166666666667,219.04999999999998,177.59886361248095,299.0166666666667
