,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded,gen-standard_SSRT-vanilla,gen-standard_SSRT-w_guesses,gen-standard_SSRT-w_graded
003RTV85,270.46666666666664,261.5115302826266,158.11666666666665,212.99999999999997,205.23452482941136,150.83333333333331,261.79999999999995,253.16868647333868,127.1
00CY2MDM,300.2,270.2344745654354,580.8333333333334,199.16666666666666,167.2725202095282,934.5500000000001,272.58333333333337,243.89796589674486,
00HEV6HB,288.85,267.60221603075524,409.31666666666666,201.8166666666667,177.18869774857038,721.5500000000001,268.8,248.35077114975496,
00LJVZK2,285.09999999999997,266.5650088062239,400.53333333333336,213.5833333333334,193.8316146163455,584.6999999999999,267.5,249.79302354723598,
00NPMHND,267.38333333333327,263.5281969492934,216.76666666666662,243.68333333333334,240.19589599839287,207.08333333333331,263.40000000000003,259.67365932013814,205.51666666666668
00R4TXET,279.54999999999995,263.48861174909916,228.86666666666667,203.25,188.70136111265376,293.0333333333333,263.75,248.6315698842208,
00UMK5VC,274.68333333333334,262.15639389858666,206.91666666666669,207.66666666666663,197.2127111524647,217.91666666666669,262.3333333333333,250.47715557267514,116.95
00X2TBWJ,273.04999999999995,262.9355593206794,219.08333333333334,217.39999999999998,207.9873074395454,247.83333333333331,263.3833333333333,253.70917164934426,
0191C80U,286.59999999999997,265.26001943220507,361.5666666666666,200.29999999999995,180.6629261800848,523.75,266.1166666666667,245.88724513263065,
01ELX9L6,269.95,262.0063938985866,225.36666666666665,224.91666666666663,217.70681292127904,212.86666666666662,262.3833333333334,254.69704695987267,193.2833333333333
01EN91PG,270.1333333333333,262.06792418121324,192.31666666666666,219.9833333333333,213.0175465427957,190.5,262.4833333333333,254.69704695987264,158.46666666666664
01NAYMZH,275.0833333333333,262.49917355892626,198.8166666666667,208.71666666666667,197.59076762893966,229.43333333333334,262.9833333333333,251.02939088834802,
021403LF,268.9833333333334,261.46153028262665,169.66666666666666,216.95000000000002,210.32158745194872,144.05,261.8666666666666,254.62365932013813,151.3
022ZVCT8,271.6666666666666,261.7397272319199,182.05,211.93333333333334,203.40193685572484,177.21666666666667,262.05,252.56371362653934,135.08333333333331
028D3ELL,278.08333333333337,262.8076514131332,246.08333333333337,203.79999999999995,191.24780830321555,279.03333333333336,262.7833333333333,248.38562467201152,115.80000000000001
028WCTG6,282.4333333333333,263.62683310889304,311.79999999999995,201.09999999999994,185.76137702931243,408.53333333333325,263.95,246.15578759121513,130.76666666666665
029PWCFY,286.7833333333333,265.64001129537155,363.5333333333333,201.39999999999998,181.20916483598683,497.65000000000003,266.5333333333333,246.53007811551194,
02EBX0JJ,271.7833333333333,261.75639389858657,173.73333333333335,211.5333333333333,202.94291206883568,171.91666666666666,261.9833333333333,252.39704695987265,128.14999999999998
02JXJUZG,272.0833333333333,262.4127877971732,189.4,217.4,209.06855473750431,206.88333333333333,262.8666666666666,253.55901246014352,152.28333333333333
02RCED7D,276.0,262.4461211305066,252.8,207.68333333333334,196.38827428744102,277.01666666666665,262.83333333333337,249.9789036989436,138.5
02UVMTY7,274.7333333333333,262.11153028262663,174.70000000000002,206.28333333333333,195.8122019235794,182.8666666666667,262.0333333333333,250.15376793294053,94.16666666666667
02WP3TP6,280.51666666666665,263.3307119783865,267.4,203.31666666666666,189.12413323907688,329.3,263.65,247.44288900588654,135.76666666666665
030X9ZNH,268.1,261.76153028262667,190.95,223.36666666666667,217.73061223883792,168.03333333333333,262.35,256.1903259868048,172.98333333333332
03BDCNWM,278.59999999999997,262.66792418121327,204.54999999999998,201.74999999999997,188.77013491690838,254.2,262.6833333333334,247.73387654574302,77.66666666666666
03CV8RDT,291.51666666666665,266.5428153662118,408.34999999999997,199.95,177.0896729515471,585.4333333333334,267.93333333333334,244.25116856712913,
03VJZEL,281.7333333333333,264.57848101274493,295.56666666666666,205.36666666666665,188.51680649385443,426.6500000000001,265.4666666666667,249.1021075016261,
03XVEBPM,275.81666666666666,262.2730605652533,176.31666666666666,204.71666666666664,193.54351480233623,198.28333333333333,262.2,249.46546175280784,86.83333333333333
03YU08FA,289.78333333333336,265.88767898217185,434.3833333333333,199.41666666666666,178.07448655958345,636.7166666666667,267.01666666666665,244.27735561043454,
040B4TRC,291.0666666666666,267.10265208252355,477.53333333333325,199.69999999999996,175.5154205196836,715.1833333333332,268.4,245.5730758402382,
042UJKFB,273.45,262.15125751454656,207.13333333333333,210.93333333333334,201.43343303585118,211.10000000000005,262.3333333333333,251.61546175280782,134.56666666666663
04BFG4JM,293.65,267.53961592777085,476.06666666666666,199.63333333333333,174.35888025435605,704.4166666666666,269.1166666666667,244.26290908499433,
04CLBZAD,279.74999999999994,263.0743180797999,277.73333333333323,202.95,189.2280946145376,318.8333333333333,263.31666666666666,247.62595065881624,130.70000000000002
04EUBGTM,276.51666666666665,262.5127877971732,179.98333333333335,204.91666666666666,193.26777456389317,214.7166666666667,262.51666666666665,249.29409391974534,101.25
04JY6730,295.46666666666664,268.78917987600244,527.4,199.46666666666664,171.09539026132617,826.7,270.63333333333327,245.17475262065759,
04P0G6LK,294.95,268.7109829267092,500.23333333333323,199.8,171.69514386750257,792.3833333333333,270.53333333333336,245.50163666132656,
04R9REGF,299.81666666666666,270.08016462246906,558.9,199.4666666666667,167.94941740081157,876.6333333333333,272.43333333333334,244.05703467668852,
059VLAHF,280.04999999999995,263.44708960330604,252.6833333333333,202.58333333333334,188.08398947280824,312.0,263.59999999999997,247.97463340215205,
05CA3VX5,275.21666666666664,262.32611299367306,152.79999999999998,206.11666666666665,194.95357048992008,190.45,262.4666666666667,250.28906490154327,
05LGG3GZ,279.29999999999995,263.26889265401275,266.7,203.14999999999995,189.17299301622984,311.91666666666674,263.41666666666663,248.35769505508185,
05X0LM1N,282.19999999999993,264.0513995462724,281.53333333333336,201.86666666666665,185.66247564447627,378.2666666666667,264.45000000000005,247.3067056502239,
05YY477E,308.75,274.64624324905066,769.9,198.46666666666667,155.7126338351863,1349.1000000000001,278.06666666666666,245.1879202886851,
06A9DLE9,286.75,265.0839064385321,407.3499999999999,199.61666666666665,180.22905686737522,534.75,265.8333333333333,245.37533580376245,
06DP74KL,279.56666666666666,262.9127877971732,249.03333333333333,201.53333333333333,187.97846932694068,296.54999999999995,262.95,247.29731849187877,97.10000000000001
06DX0E7R,289.28333333333336,265.90822451833196,408.66666666666663,200.1,178.88422245163682,567.6166666666668,267.0,244.8334151788482,
06U4DYFY,283.9,265.328481012745,349.05,229.85,210.71039092411934,462.65000000000003,265.16666666666663,247.37401869549575,
06WHVUPX,281.25,263.48376440680624,250.03333333333336,201.43333333333334,186.40588825595083,332.13333333333327,263.78333333333336,247.04458096075237,
07924XF1,273.66666666666663,261.89486361596005,114.35000000000001,206.08333333333331,196.29631543052386,131.38333333333333,261.65000000000003,250.53535314000536,66.85
07BR8GMY,281.7166666666667,263.9150137845193,247.34999999999997,202.70000000000002,186.95307799010018,332.50000000000006,264.40000000000003,247.59211511002948,
07CMT243,274.4,261.9781969492933,146.08333333333334,206.31666666666666,196.00437674243236,169.80000000000004,262.0166666666666,250.29704695987266,79.33333333333333
07RPB2TU,294.7333333333333,267.9708653054839,476.1166666666667,199.64999999999998,173.29052339388863,719.5166666666665,269.71666666666664,244.2435048872012,
07THBLHG,289.26666666666665,266.1609879050046,437.23333333333335,199.73333333333332,177.76135435028334,608.65,267.25,245.368056295441,
07UK1DPH,271.70000000000005,261.8563938985866,153.61666666666667,211.91666666666663,203.4225956466573,145.54999999999998,261.95,252.56895815374233,130.13333333333333
07XXFHDK,278.49999999999994,263.01584022559297,216.93333333333334,203.54999999999998,190.30154192567946,260.23333333333335,263.1166666666666,248.54283283448385,
085CYDEZ,282.48333333333335,263.8883633915197,239.56666666666663,202.33333333333334,186.69134392793865,340.1666666666667,264.35,246.73201022722995,156.36666666666667
086114AT,277.5666666666666,263.0637562699727,193.11666666666667,204.86666666666667,191.9602777986058,248.13333333333333,263.1333333333334,249.43283096948238,
086U18RD,275.8833333333333,262.3563938985866,206.60000000000002,206.2,195.05133998348322,226.45000000000002,262.41666666666663,249.6721827258757,103.48333333333333
08AT7TLH,272.4833333333333,262.0627877971732,184.08333333333334,211.78333333333336,202.65215090589942,178.41666666666669,262.43333333333334,252.47595080721368,161.33333333333334
08DNLREC,278.59999999999997,262.7512575145466,233.48333333333335,202.1833333333333,189.26244020773885,268.84999999999997,262.68333333333334,247.7856246720115,93.81666666666668
08EFDKZ6,274.7166666666666,262.4512575145465,217.83333333333334,210.91666666666666,200.74264112410984,240.63333333333333,262.6666666666667,251.0221827258757,124.9
08GBDG8X,301.75,271.6452797545466,637.55,199.08333333333334,163.74091170703565,1072.2666666666667,274.23333333333335,245.33630930147072,
08J0E48V,271.2166666666667,262.9781969492933,214.53333333333333,238.25000000000003,230.66256266505954,194.0833333333333,262.15000000000003,254.32365932013812,199.2333333333333
08K0R9C4,267.38333333333327,263.8781969492933,206.79999999999995,245.76666666666662,242.67922933172616,199.73333333333332,263.6333333333333,260.2403259868048,195.71666666666664
08K8VF33,269.45,263.2281969492933,188.06666666666663,230.6,225.26021628296718,184.0666666666667,263.25,257.2853531400054,159.4
08R2PTT1,297.33333333333326,269.1925213461693,555.3999999999999,199.26666666666668,169.8645315618194,850.8166666666666,271.21666666666664,244.38059668007028,
08YLBTNH,267.9833333333333,264.7281969492933,199.91666666666669,250.08333333333334,247.31256266505954,201.29999999999998,264.15000000000003,261.0903259868049,188.11666666666665
094UXV0J,270.75,262.026112993673,177.65,215.95000000000002,207.98371857689907,170.06666666666666,262.29999999999995,253.94403774834268,
095EVLDD,278.8333333333333,262.90251502909314,264.1833333333333,203.84999999999997,190.76383742241737,316.3,263.1666666666667,248.11398515854543,121.86666666666667
096T,289.8166666666666,266.1925263244648,433.6333333333333,199.7,177.66552948716344,622.9000000000001,267.35,244.92133718737455,
097LUBWX,272.65,262.44277966033974,179.7,214.61666666666662,205.5584465554742,192.98333333333332,262.71666666666664,253.00573156820994,
09AEBLZH,312.7,277.3334454952865,883.6166666666667,197.51666666666665,148.20420636381235,1715.9,281.2,246.67921281277782,
09AKV10T,281.45,263.28584836242646,270.1833333333333,200.5833333333333,185.7415940502776,337.53333333333336,263.54999999999995,246.4926173254829,112.06666666666665
09VBPCLU,279.45000000000005,263.1607038415529,226.41666666666666,202.80000000000004,188.9252129246588,285.93333333333334,263.3666666666667,248.0211933210178,
0A4ZDYNL,273.04999999999995,261.94486361596,203.29999999999998,209.28333333333336,199.90432391304037,184.75000000000003,262.01666666666665,251.51546175280782,129.48333333333335
0A6WVRZY,274.08333333333326,262.3376432762996,195.48333333333335,209.64999999999998,199.31033869147126,214.4666666666667,262.6499999999999,251.49578587461116,
0A9K5L4R,270.68333333333334,261.49486361595996,159.74999999999997,212.08333333333337,204.11671138639454,146.83333333333334,261.9,253.14032598680478,128.43333333333334
0AHJHA5D,275.0333333333333,262.11153028262663,166.3,205.53333333333333,194.84553525691268,182.75,262.0666666666667,249.9037679329405,84.89999999999999
0APJMRD1,278.2,262.7627877971732,224.73333333333332,203.5333333333333,190.78366105694863,261.71666666666664,262.9,248.37917537934717,111.35
0AYJMFMW,298.13333333333327,269.36127196845626,554.3499999999999,199.45000000000002,169.63765067901153,824.3666666666668,271.5,244.12999144681876,
0AZFZ65C,276.93333333333334,262.65430994296634,175.38333333333333,204.09999999999997,191.8927085498239,219.54999999999998,262.6333333333333,249.17414636114512,
0B0HVEYX,286.34999999999997,264.9372479086989,358.4333333333333,200.16666666666663,181.2610234460799,503.8833333333333,265.75,245.4771402498311,
0B7UGM1D,274.15,262.26278779717325,178.41666666666669,209.05,198.84980452380702,189.23333333333332,262.5166666666667,251.22097796041433,139.4
0BEHBEJ3,305.24999999999994,272.92361873556575,687.1166666666667,198.78333333333333,160.27434356956056,1190.55,275.93333333333334,244.82378526594624,
0BG53R96,282.3166666666666,263.6537725436398,298.65000000000003,201.2833333333333,185.90733825383072,373.2,263.96666666666664,246.3613037988217,143.4
0BXXNBH4,267.8166666666666,261.4781969492933,188.15000000000003,221.01666666666674,215.2792293317262,156.09999999999997,262.06666666666666,255.87365932013813,174.38333333333333
0C471G23,267.96666666666664,262.4397272319199,230.46666666666664,230.74999999999997,225.80681292127906,219.5,263.15000000000003,257.6970469598727,201.71666666666664
0C765WK4,271.6166666666666,261.7281969492933,143.18333333333334,209.71666666666667,201.2935496163005,122.95,261.51666666666665,252.15201980667206,108.46666666666665
0CBFTKR7,270.88333333333327,262.3281969492932,183.18333333333334,219.85,212.65786990087486,175.26666666666665,262.4166666666667,254.28038029320604,138.13333333333335
0CBPKF6W,273.1,261.84486361596004,122.38333333333335,207.25,197.8372906436347,131.85,261.6333333333334,250.98535314000537,78.1
0CCEN5K2,293.04999999999995,267.3768281305976,477.05,199.61666666666665,174.67035732468608,669.2499999999999,268.8833333333333,244.54651409873122,
0CCVJ39V,285.6333333333333,264.63933186431916,366.3333333333333,200.23333333333332,182.1425805190717,490.6333333333333,265.29999999999995,245.42517661456174,
0CF1U8X8,299.59999999999997,270.07168676826217,587.6333333333333,199.2333333333333,167.68652696332003,906.85,272.3666666666667,244.19326473034903,
0CKA3YZX,271.71666666666664,262.3012575145466,211.89999999999998,218.1,210.12813753816607,216.81666666666666,262.6666666666667,253.65376793294055,153.71666666666667
0CP9XGTP,280.9166666666667,263.37557559434646,264.00000000000006,202.28333333333336,187.77584207370438,333.48333333333335,263.68333333333334,247.12622233921985,133.53333333333333
0CRTHE21,272.79999999999995,261.8781969492933,175.1333333333333,209.25,200.02983206522669,166.15,261.8833333333333,251.54207411307323,115.0
0CZBUV4C,274.0166666666667,262.0615302826266,210.76666666666668,209.38333333333335,199.39180596770868,214.8666666666667,262.34999999999997,251.04879508614118,123.4
0D4C1R8X,284.31666666666666,264.3932107338126,351.18333333333334,200.88333333333333,183.57956574158808,431.06666666666666,264.9,246.1353939885641,
0D83M5VE,272.85,262.0594463270063,163.8833333333333,210.13333333333335,200.50453396490073,177.14999999999998,262.3333333333333,252.06070441500933,
0DBRJXKG,279.6,263.72654406714594,306.74999999999994,208.2,194.0655794941937,379.1,264.45,249.36495938895686,
0DC9BJZK,270.1166666666667,262.19486361596,166.0833333333333,220.45000000000002,213.66021628296718,166.25000000000003,262.44999999999993,254.81868647333872,134.63333333333333
0DG8XRZP,282.75,263.63710587697307,310.3833333333333,200.48333333333332,184.8609880093425,394.46666666666664,263.9833333333333,245.95605927161876,132.25
0DKWEM1A,273.7333333333333,262.0397272319199,148.66666666666669,206.89999999999998,197.1301579927426,151.66666666666669,261.75,250.7087407797399,92.01666666666667
0DMRP60R,273.5166666666667,262.6512575145466,173.61666666666667,214.86666666666665,205.72725359687763,194.76666666666668,262.76666666666665,252.45901246014353,125.73333333333333
