,sim_rt_mean,sim_rt_std
AG1DBDKY,490.4265,277.0108501544689
26K18JMC,511.539,295.5778401856344
ZEAB7J9G,467.649,255.82743136012243
YE9WDNR8,524.9545,305.5724213375465
5974KV94,369.5115,179.48483019432294
TL570LHZ,422.852,227.5852645104932
DVVR7GEL,419.6945,220.4430600883606
ALAMYFP6,436.459,227.05989830374904
FG9UNK15,336.81,146.27395850071102
NJGJ5FRB,427.0855,230.17202212613682
BWTD7W8G,442.249,239.76422468900645
7K0DFRE1,419.5605,213.40027923913235
MUWA98AY,416.434,211.27930119999397
61LJLRTD,567.2007007007007,338.38184891187507
U3M4BG5Y,512.5265,293.40588918024946
B7T61NTA,454.2745,248.3858790716797
FBE9UXHG,539.129,324.5280428318825
ZGWR,414.1845,211.50768120651006
0BL9EL2Y,469.4285,263.5276101064065
T1C2GBHB,427.5285,234.3657181258947
4XEMVP0N,431.0,235.2760642590032
JLDR7ZUA,463.1525,263.52178678394864
GRZPCR43,495.8675,286.59389381795427
3933Z8FN,430.901,221.66024188025963
O8P3GNDV,465.836,250.9073361814573
AZ4ZE28H,471.38369184592295,254.06757898021138
1NY2HJJM,416.274,214.85601103236178
MEZY36AN,449.463,248.72289836499883
VVHP3,382.902,184.40993440689135
G957G5YY,432.294,225.09553430439684
URV9HRCM,498.6145,290.20772414139094
HT6KEU1H,502.803,287.6386381974648
8ZNJ982B,467.2195,269.3765156306998
FYNEZGWE,366.7155,184.50244479631678
5A6YDAY7,428.3485,231.66672567212112
8L88HZVW,381.964,189.8530452571059
14F94Z7X,497.584,282.19816768881304
WNGXWEL5,362.906,178.3359807358361
VBYJ19B5,489.0955,276.426337637751
2CW9FCHW,392.3655,200.83311948154952
WAFKK7PK,420.9675,218.61558460152224
4VUZUGXU,456.2845,262.94647360963387
FHHXU5T4,445.839,238.49467695205954
M3JM9ARN,358.4625,167.54735644609866
Z7FR6UCT,442.4815,236.96528000893898
DB8CUMHL,368.419,172.3996120996972
M3VWCXNN,403.269,203.7903184303488
H7TM17PE,475.276,268.46947639140825
TV4KFLNU,447.42,244.00997527563706
WPTBB9N7,406.9085,212.26772934718812
HFKBP9C2,474.171,269.44601191271664
ZXF5C635,437.4265,239.56034349791375
7261JZGE,374.991,181.66979902267317
3XKBVA63,469.527,258.9941915692962
EKXJ,386.315,184.95781267963682
2V1TRPDR,453.0505,245.7631760844361
M7FJXJRR,455.625,259.4377697120768
1CTLWW8V,441.556,237.3164098902594
8LBGM6LE,462.847,251.30534371335887
C4H4Y34B,385.862,185.7175071236584
CFT8L45Y,376.4935,193.74885875246835
BD527MYG,420.323,228.17502403154447
AF36HM7X,536.4355,316.1952886588208
EU0LET8P,552.9659829914957,338.4864087261319
CGWV06JE,493.886,284.22385474094517
5K9CU40G,422.706,226.88721309878585
5AXUMK7E,339.7835,159.55557219370004
3PNCV5A7,501.0135,289.02528284704164
1H63RRB3,428.2635,222.9574019163406
AA1BAPT1,510.2535,304.8327159773292
YWCJTCBW,377.6105,191.28221881128073
DULBXX1K,500.1455,289.5066724385523
E4KDYWD0,353.624,170.93065631604622
H6H319AA,474.2515,261.3483053629927
35KNHNNM,533.28,317.79531861288666
86NEYD0L,457.811,251.31829961795745
MZYRHT83,394.249,199.46098701668663
4K2HKN0K,461.774,245.15413967563356
