,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
00J52GPG,317.3333333333333,184.14999999999998,321.8500000000001,286.4666666666667,267.3371655953539,77.01557083194653,270.81615700685506,217.12650469185354,800.6,294.78333333333336,739.8666666666667,576.3000000000001,800.6,294.78333333333336,739.8666666666667,576.3000000000001,242.0,193.0,284.0,268.0,240.646,174.6,295.006,263.084
00LJVZK2,348.6415094339623,231.35849056603772,408.09433962264154,302.33962264150944,243.64838540361214,134.64126328188368,298.3946455668505,208.8352743042948,578.0754716981133,300.4716981132076,642.5283018867926,424.81132075471703,578.0754716981133,300.4716981132076,642.5283018867926,424.81132075471703,319.0,233.0,414.0,301.0,274.322,230.916,361.918,278.48400000000004
00R4TXET,218.05,172.2666666666667,257.34999999999997,253.09999999999997,211.8127868459317,153.60191280408822,252.82884842144406,249.03951330868895,365.3833333333333,259.4833333333333,404.65,389.98333333333335,365.3833333333333,259.4833333333333,404.65,389.98333333333335,228.0,176.0,264.0,246.0,228.542,169.952,269.096,248.72
028WCTG6,271.16666666666663,209.63333333333333,358.8333333333333,280.1833333333333,186.9503417262221,127.13800867852112,275.3289772344474,196.3500568062248,366.56666666666666,283.06666666666666,489.95,372.8333333333333,366.56666666666666,283.06666666666666,489.95,372.8333333333333,291.0,220.0,380.0,283.0,250.108,217.408,327.498,267.684
029PWCFY,299.26666666666665,216.83333333333337,362.84999999999997,291.1166666666666,235.55306497831884,144.50880475320199,295.382409718353,227.47153747801914,500.1333333333333,303.40000000000003,584.7166666666665,436.01666666666665,500.1333333333333,303.40000000000003,584.7166666666665,436.01666666666665,288.0,224.0,366.0,290.0,262.808,213.528,362.31,282.158
030W95VP,249.23333333333332,208.31666666666666,315.6333333333333,269.8666666666666,203.32325406007607,159.03433531534571,269.7733933010978,224.31384270581498,336.23333333333323,274.66666666666663,424.6166666666666,357.36666666666656,336.23333333333323,274.66666666666663,424.6166666666666,357.36666666666656,274.0,216.0,356.0,280.0,230.726,205.076,323.948,256.658
03VJZEL,245.4166666666666,189.86666666666667,286.3,267.1666666666667,229.14740820121253,156.17762543174248,271.2658073967765,249.05422290763653,433.5,269.4,465.95000000000005,415.51666666666665,433.5,269.4,465.95000000000005,415.51666666666665,246.0,192.0,289.0,261.0,237.982,180.00799999999998,294.088,263.858
040B4TRC,292.03333333333325,198.33333333333334,320.15,295.51666666666665,258.00932415788077,141.14972708967235,288.0185716644624,258.4503317747925,591.8833333333332,301.7333333333333,615.8166666666666,515.6666666666665,591.8833333333332,301.7333333333333,615.8166666666666,515.6666666666665,268.0,202.0,307.0,285.0,266.79,195.50799999999998,325.334,286.7920000000001
