,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
003RTV85,253.08333333333326,222.56666666666663,292.8499999999999,289.55,237.44693562918306,207.18052651474432,278.77244040016063,274.65579890152344,327.49999999999994,287.6166666666666,379.3666666666666,371.33333333333326,327.49999999999994,287.6166666666666,379.3666666666666,371.33333333333326,281.0,212.0,331.0,287.0,258.272,208.938,344.276,276.384
007W6H7B,258.19565217391306,229.43478260869563,297.3695652173913,281.2608695652174,243.73849177925024,212.63267768672853,282.7526177055555,266.2619476732383,318.86956521739125,280.9782608695652,366.69565217391306,339.9130434782608,318.86956521739125,280.9782608695652,366.69565217391306,339.9130434782608,277.0,210.0,344.0,290.0,253.118,209.91000000000003,339.216,282.712
00CY2MDM,340.91666666666663,206.1,375.2833333333333,299.1333333333333,251.86978029904665,96.52919923662512,291.0386332440267,210.41230812051043,707.25,301.21666666666664,748.9166666666667,524.6166666666667,707.25,301.21666666666664,748.9166666666667,524.6166666666667,281.0,214.0,334.0,286.0,265.91200000000003,206.686,338.276,281.616
00HEV6HB,319.25,209.79999999999998,329.15,294.53333333333336,262.61374100356926,140.52550577321588,277.9705765955213,235.8924479604597,659.6666666666666,310.23333333333335,636.3166666666667,488.15000000000003,659.6666666666666,310.23333333333335,636.3166666666667,488.15000000000003,281.0,214.0,326.0,293.0,260.644,204.07,344.298,277.754
00J52GPG,366.3333333333333,214.81666666666666,385.51666666666665,303.24999999999994,265.80698812817786,93.07285541233516,289.15037502792234,203.04907951108504,832.9833333333333,331.65,826.9166666666669,552.75,832.9833333333333,331.65,826.9166666666669,552.75,281.0,222.0,344.0,282.0,263.52,208.43400000000003,341.408,285.702
00LJVZK2,302.60377358490564,216.77358490566039,339.43396226415086,287.1132075471698,250.35442752248585,146.683706669509,286.06017212085595,231.89680673928302,567.1509433962265,293.24528301886795,593.6415094339623,447.8867924528302,567.1509433962265,293.24528301886795,593.6415094339623,447.8867924528302,274.0,213.0,341.0,283.0,253.804,208.486,340.3300000000001,281.116
00MU,266.66666666666663,209.5333333333333,315.7166666666667,285.76666666666665,227.70830786135065,166.63568659490502,281.92614942836633,248.8548803363295,393.65,295.26666666666665,472.8833333333334,413.71666666666664,393.65,295.26666666666665,472.8833333333334,413.71666666666664,280.0,215.0,333.0,288.0,268.28,201.96400000000003,336.66,280.284
00NPMHND,267.03125,248.65625,285.8125,292.34375,256.0114880553578,235.4234977983362,275.9401234143379,282.1069827164384,315.25,297.03125,358.0,346.9375,315.25,297.03125,358.0,346.9375,280.0,212.0,333.0,290.0,258.04400000000004,207.068,345.158,279.978
