,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
003RTV85,263.79999999999995,234.29999999999998,322.93333333333334,288.85,233.86035995474325,203.75831150155665,290.60633237492056,260.43367083395674,334.51666666666665,289.38333333333327,400.28333333333325,360.3833333333333,334.51666666666665,289.38333333333327,400.28333333333325,360.3833333333333,302.0,235.0,393.0,294.0,268.63599999999997,229.892,372.754,279.722
007W6H7B,254.3260869565217,226.43478260869563,271.9782608695652,272.7608695652173,250.89330354225456,219.2116364723891,268.7856431971598,270.45390549120896,309.1521739130435,280.2391304347826,344.3478260869565,349.52173913043475,309.1521739130435,280.2391304347826,344.3478260869565,349.52173913043475,256.0,195.0,296.0,270.0,251.938,192.50400000000002,307.878,275.002
00CY2MDM,336.4833333333333,203.03333333333336,363.9833333333333,299.40000000000003,259.83163410143567,104.43429533022305,287.71058441618567,220.16777380496418,689.3666666666667,300.8833333333333,699.1166666666667,525.0166666666667,689.3666666666667,300.8833333333333,699.1166666666667,525.0166666666667,279.0,212.0,329.0,283.0,263.43600000000004,207.87599999999998,342.246,283.2340000000001
00HEV6HB,351.71666666666664,211.9666666666667,380.16666666666663,296.45,252.66004815268573,118.76338002555818,286.9297829278513,209.79719807553124,660.6166666666667,292.78333333333336,676.8166666666666,440.25,660.6166666666667,292.78333333333336,676.8166666666666,440.25,299.0,222.0,387.0,292.0,260.44,231.996,354.8060000000001,279.99
00J52GPG,364.2000000000001,205.29999999999995,375.15,303.19999999999993,274.0792080819727,89.12730180641155,288.6054095872262,212.8172648624101,817.2,305.8833333333333,797.95,563.4166666666667,817.2,305.8833333333333,797.95,563.4166666666667,279.0,211.0,328.0,288.0,258.858,202.81799999999998,341.74,279.894
00LJVZK2,310.92452830188677,219.81132075471697,345.2641509433963,293.26415094339626,251.7452147948212,150.16067811319465,288.529439673853,234.7478796480103,508.4150943396226,253.73584905660374,529.9622641509435,397.81132075471703,508.4150943396226,253.73584905660374,529.9622641509435,397.81132075471703,286.0,219.0,343.0,287.0,256.75,208.37,355.666,286.49
00MU,247.35,197.78333333333333,288.33333333333337,291.43333333333334,240.92710162069477,181.22506884170934,287.4138642891502,286.3034026642004,393.74999999999994,295.1333333333333,448.20000000000005,439.2833333333333,393.74999999999994,295.1333333333333,448.20000000000005,439.2833333333333,255.0,195.0,288.0,287.0,273.942,189.31599999999997,311.296,291.126
00NPMHND,256.84375,231.0625,291.1875,283.78125,242.13089279544866,215.24922568255084,276.6620820235221,269.4337214586161,310.65625,274.28125,355.6875,334.03125,310.65625,274.28125,355.6875,334.03125,276.0,217.0,349.0,291.0,253.498,205.816,339.492,275.948
