,SSRT,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc,SSD,SSRT_w_guesses,SSRT_w_graded
0,190.0,0.0,0.147648,2802.0,387.10764086112687,251.34920892934548,1,8e-06,,,0.0,205.15048176247592,341.0
1,167.0,50.0,0.221448,2802.0,387.10764086112687,259.78696578880823,1,8e-06,,,50.0,185.62402645847243,1359.0
2,149.0,100.0,0.312432,2802.0,387.10764086112687,271.4561632611256,1,8e-06,,,100.0,166.0,1078.0
3,134.0,150.0,0.404968,2802.0,387.10764086112687,286.5195077141898,1,8e-06,,,150.0,148.0,206.0
4,125.0,200.0,0.499976,2802.0,387.10764086112687,300.3192953261757,1,8e-06,,,200.0,134.0,-22.0
5,121.0,250.0,0.59128,2802.0,387.10764086112687,314.337315654174,1,8e-06,,,250.0,127.0,-149.0
6,123.0,300.0,0.675296,2802.0,387.10764086112687,325.83090081978867,1,8e-06,,,300.0,125.92513142793484,9.0
7,129.0,350.0,0.749296,2802.0,387.10764086112687,335.15792957656254,1,8e-06,,,350.0,130.0,91.0
8,144.0,400.0,0.812736,2802.0,387.10764086112687,342.78276832821484,1,8e-06,,,400.0,144.0,103.0
9,166.0,450.0,0.864872,2802.0,387.10764086112687,346.8061770990389,1,8e-06,,,450.0,166.0,185.0
10,195.0,500.0,0.905752,2802.0,387.10764086112687,347.96524434944666,1,8e-06,,,500.0,194.0,206.0
11,250.0,550.0,0.940392,2802.0,387.10764086112687,347.01251393036097,1,8e-06,,,550.0,250.0,246.0
12,248.0,600.0,0.952096,2802.0,387.10764086112687,352.49349645413906,1,8e-06,,,600.0,247.0,244.0
13,243.0,650.0,0.960936,2802.0,387.10764086112687,358.5026266057261,1,8e-06,,,650.0,243.0,135.0
14,238.0,700.0,0.968328,2802.0,387.10764086112687,361.65789278013233,1,8e-06,,,700.0,236.0,236.0
15,234.0,750.0,0.974296,2802.0,387.10764086112687,365.56540517460814,1,8e-06,,,750.0,233.0,78.0
16,238.0,800.0,0.979744,2802.0,387.10764086112687,369.42554789822645,1,8e-06,,,800.0,232.0,241.0
17,237.0,850.0,0.983704,2802.0,387.10764086112687,373.3671266966486,1,8e-06,,,850.0,229.0,230.0
18,243.0,900.0,0.987104,2802.0,387.10764086112687,374.8008315233248,1,8e-06,,,900.0,223.0,233.0
