,SSRT,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc,SSD,SSRT_w_guesses,SSRT_w_graded
0,202.0,0.0,0.004424,2291.0,510.755912,343.6094032549729,0,0.0,,,0.0,106.70519493829056,
1,173.0,50.0,0.012264,2291.0,510.755912,361.90345727332027,0,0.0,,,50.0,90.79585389840258,1442.0
2,149.0,100.0,0.029712,2291.0,510.755912,375.0479267635972,0,0.0,,,100.0,83.30894747584199,404.0
3,129.0,150.0,0.06536,2291.0,510.755912,396.53696450428396,0,0.0,,,150.0,79.0,268.0
4,115.0,200.0,0.127304,2291.0,510.755912,419.9282347765978,0,0.0,,,200.0,83.0,303.0
5,106.0,250.0,0.21768,2291.0,510.755912,441.72488055861817,0,0.0,,,250.0,83.0,411.0
6,106.0,300.0,0.33924,2291.0,510.755912,459.32632944228277,0,0.0,,,300.0,90.0,152.0
7,115.0,350.0,0.483192,2291.0,510.755912,474.8066689845858,0,0.0,,,350.0,107.0,157.0
8,135.0,400.0,0.628424,2291.0,510.755912,485.01247565338053,0,0.0,,,400.0,128.0,170.0
9,168.0,450.0,0.760784,2291.0,510.755912,488.97438431933375,0,0.0,,,450.0,165.0,195.0
10,215.0,500.0,0.862728,2291.0,510.755912,485.4630891775855,0,0.0,,,500.0,212.0,230.0
11,277.0,550.0,0.929032,2291.0,510.755912,475.6509399030389,0,0.0,,,550.0,277.0,276.0
12,276.0,600.0,0.947912,2291.0,510.755912,483.1653908801661,0,0.0,,,600.0,275.0,279.0
13,275.0,650.0,0.9614,2291.0,510.755912,488.4606365716663,0,0.0,,,650.0,275.0,274.0
14,276.0,700.0,0.971168,2291.0,510.755912,493.0837507001878,0,0.0,,,700.0,272.0,272.0
15,284.0,750.0,0.979864,2291.0,510.755912,496.77099679139144,0,0.0,,,750.0,280.0,284.0
16,280.0,800.0,0.984856,2291.0,510.755912,500.24747577310796,0,0.0,,,800.0,272.0,278.0
17,284.0,850.0,0.989272,2291.0,510.755912,502.5449583127795,0,0.0,,,850.0,278.0,278.0
18,276.0,900.0,0.991776,2291.0,510.755912,504.23456102990997,0,0.0,,,900.0,266.0,284.0
