,SSRT,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc,SSD
0,192.0,0.0,0.1491,2056.0,387.9305,251.3849765258216,0,0.0,,,0.0
1,191.0,50.0,0.2875,2056.0,387.9305,251.15513043478262,0,0.0,,,50.0
2,187.0,100.0,0.4116,2056.0,387.9305,261.31486880466474,0,0.0,,,100.0
3,189.0,150.0,0.5272,2056.0,387.9305,273.8571699544765,0,0.0,,,150.0
4,188.0,200.0,0.6176,2056.0,387.9305,286.22215025906735,0,0.0,,,200.0
5,196.0,250.0,0.7062,2056.0,387.9305,299.04403851600114,0,0.0,,,250.0
6,197.0,300.0,0.7714,2056.0,387.9305,310.89694062743064,0,0.0,,,300.0
7,209.0,350.0,0.8235,2056.0,387.9305,321.05112325440194,0,0.0,,,350.0
8,222.0,400.0,0.8656,2056.0,387.9305,331.53974121996305,0,0.0,,,400.0
9,237.0,450.0,0.9001,2056.0,387.9305,336.55893789578937,0,0.0,,,450.0
10,225.0,500.0,0.9174,2056.0,387.9305,342.64050577719644,0,0.0,,,500.0
11,220.0,550.0,0.9329,2056.0,387.9305,347.2150284060457,0,0.0,,,550.0
12,247.0,600.0,0.952,2056.0,387.9305,350.5572478991597,0,0.0,,,600.0
13,235.0,650.0,0.9593,2056.0,387.9305,359.4986969665381,0,0.0,,,650.0
14,236.0,700.0,0.9673,2056.0,387.9305,359.26134601468004,0,0.0,,,700.0
15,248.0,750.0,0.9755,2056.0,387.9305,362.09051768323934,0,0.0,,,750.0
16,237.0,800.0,0.9801,2056.0,387.9305,367.18498112437504,0,0.0,,,800.0
17,216.0,850.0,0.9826,2056.0,387.9305,373.0602483207816,0,0.0,,,850.0
18,215.0,900.0,0.9858,2056.0,387.9305,376.5316494217894,0,0.0,,,900.0
