,SSRT,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc,SSD,SSRT_w_guesses,SSRT_w_graded
0,469.0,0.0,0.30372,1348.0,540.19522,248.82642800297847,0,0.0,,,0.0,294.8468079561389,873.0
1,440.0,50.0,0.37767,1348.0,540.19522,271.95648769778876,0,0.0,,,50.0,292.2194132113578,986.0
2,394.0,100.0,0.38967,1348.0,540.19522,303.93768521885795,0,0.0,,,100.0,296.0,671.0
3,356.0,150.0,0.4315,1348.0,540.19522,341.2346651582741,0,0.0,,,150.0,296.0,546.0
4,323.0,200.0,0.4914,1348.0,540.19522,389.0100735527815,0,0.0,,,200.0,293.0,474.0
5,306.0,250.0,0.59971,1348.0,540.19522,426.16608458827335,0,0.0,,,250.0,290.0,440.0
6,294.0,300.0,0.70716,1348.0,540.19522,456.5604530697626,0,0.0,,,300.0,285.0,385.0
7,285.0,350.0,0.79928,1348.0,540.19522,482.52027884530884,0,0.0,,,350.0,281.0,368.0
8,280.0,400.0,0.87345,1348.0,540.19522,498.7799339648571,0,0.0,,,400.0,278.0,337.0
9,279.0,450.0,0.92498,1348.0,540.19522,513.7121450050845,0,0.0,,,450.0,278.0,311.0
10,277.0,500.0,0.95776,1348.0,540.19522,521.89494641304,0,0.0,,,500.0,278.0,285.0
11,273.0,550.0,0.97576,1348.0,540.19522,530.3622468199031,0,0.0,,,550.0,273.0,246.0
12,275.0,600.0,0.98756,1348.0,540.19522,533.0253976239696,0,0.0,,,600.0,278.0,269.0
13,275.0,650.0,0.99362,1348.0,540.19522,536.0106038945446,0,0.0,,,650.0,275.0,230.0
14,246.0,700.0,0.99538,1348.0,540.19522,525.676131453764,0,0.0,,,700.0,271.0,223.0
15,248.0,750.0,0.99757,1348.0,540.19522,532.1981705201082,0,0.0,,,750.0,271.0,224.0
16,195.0,800.0,0.99742,1348.0,540.19522,512.1486811327284,0,0.0,,,800.0,285.5223395440728,204.0
17,192.0,850.0,0.99852,1348.0,540.19522,516.2928871303876,0,0.0,,,850.0,287.0719797528245,110.0
18,125.0,900.0,0.99821,1348.0,540.19522,506.52675106909624,0,0.0,,,900.0,280.4456177080631,45.0
