,SSRT,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc,SSD,SSRT_w_guesses,SSRT_w_graded
0,265.0,0.0,0.28045,2222.0,418.5072,242.99572116241754,0,0.0,,,0.0,265.2503820470631,457.0
1,256.0,50.0,0.3848,2222.0,418.5072,255.15007796257797,0,0.0,,,50.0,255.7285366048867,369.0
2,254.0,100.0,0.4927,2222.0,418.5072,268.8789324132332,0,0.0,,,100.0,251.60296506276052,353.0
3,250.0,150.0,0.5819,2222.0,418.5072,284.97516755456263,0,0.0,,,150.0,245.94576048118972,337.0
4,247.0,200.0,0.66045,2222.0,418.5072,300.2331743508214,0,0.0,,,200.0,242.0,330.0
5,244.0,250.0,0.726,2222.0,418.5072,314.0673553719008,0,0.0,,,250.0,241.0,309.0
6,239.0,300.0,0.77485,2222.0,418.5072,326.22894753823323,0,0.0,,,300.0,236.0,300.0
7,246.0,350.0,0.82295,2222.0,418.5072,339.5705085363631,0,0.0,,,350.0,243.0,298.0
8,243.0,400.0,0.858,2222.0,418.5072,349.4862470862471,0,0.0,,,400.0,242.0,291.0
9,243.0,450.0,0.8847,2222.0,418.5072,358.3055838137222,0,0.0,,,450.0,241.0,269.0
10,246.0,500.0,0.90845,2222.0,418.5072,367.4149375309593,0,0.0,,,500.0,245.0,274.0
11,250.0,550.0,0.9287,2222.0,418.5072,376.6264132658555,0,0.0,,,550.0,250.0,254.0
12,247.0,600.0,0.94145,2222.0,418.5072,380.4003930107812,0,0.0,,,600.0,247.0,243.0
13,252.0,650.0,0.95365,2222.0,418.5072,388.3423687935826,0,0.0,,,650.0,252.0,255.0
14,239.0,700.0,0.9613,2222.0,418.5072,392.45604910017687,0,0.0,,,700.0,235.0,256.0
15,237.0,750.0,0.96935,2222.0,418.5072,398.8551606746789,0,0.0,,,750.0,233.0,258.0
16,225.0,800.0,0.9742,2222.0,418.5072,399.2216177376309,0,0.0,,,800.0,206.0,237.0
17,254.0,850.0,0.9821,2222.0,418.5072,403.9993381529376,0,0.0,,,850.0,251.75724697967962,260.0
18,229.0,900.0,0.9842,2222.0,418.5072,408.0682788051209,0,0.0,,,900.0,207.1896572027399,230.0
